Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Harian(ton),Timbulan Sampah Tahunan(ton)
2024,Maluku Utara,Kab. Halmahera Selatan,102.15,"37,286.06"
2024,Maluku Utara,Kab. Kepulauan Sula,68.31,"24,933.79"
2024,Maluku Utara,Kab. Halmahera Timur,53.84,"19,652.42"
2024,Maluku Utara,Kab. Pulau Morotai,32.74,"11,951.56"
2024,Maluku Utara,Kab. Pulau Taliabu,32.65,"11,915.61"
2024,Papua,Kab. Jayapura,101.89,"37,188.39"
2024,Papua,Kab. Kepulauan Yapen,46.44,"16,951.62"
2024,Papua,Kab. Biak Numfor,59.36,"21,664.65"
2024,Papua,Kab. Sarmi,17.00,"6,205.00"
2024,Papua Barat,Kab. Manokwari,210.00,"76,650.00"
2024,Papua Barat,Kab. Fak Fak,36.07,"13,164.97"
2024,Papua Barat,Kab. Teluk Wondama,17.81,"6,501.96"
2024,Papua Barat,Kab. Kaimana,26.66,"9,731.63"
2024,Papua Selatan,Kab. Boven Digoel,26.08,"9,518.18"
2024,Papua Selatan,Kab. Asmat,47.41,"17,305.38"
2024,Papua Tengah,Kab. Nabire,69.77,"25,466.34"
2024,Papua Tengah,Kab. Mimika,156.51,"57,125.42"
2024,Papua Tengah,Kab. Dogiyai,47.13,"17,201.43"
2024,Papua Pegunungan,Kab. Jayawijaya,113.00,"41,244.56"
2024,Papua Barat Daya,Kab. Sorong,51.99,"18,974.60"
2024,Papua Barat Daya,Kab. Sorong Selatan,21.20,"7,738.00"
2024,Papua Barat Daya,Kab. Raja Ampat,27.40,"10,001.00"
