Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2
2024,Lampung,Kab. Way Kanan,"71,506.86","3,113.89",4.35,"6,455.43",9.03,"9,569.32",13.38,"1,016.34",148.23,1.63,P 1
2024,Lampung,Kab. Pesawaran,"63,131.88","3,527.14",5.59,"13,578.00",21.51,"17,105.14",27.09,"3,522.73",,5.58,P 1
2024,Lampung,Kab. Pringsewu,"59,628.59","7,081.45",11.88,"16,215.35",27.19,"23,296.80",39.07,"7,032.70",885.35,13.28,P 1
2024,Lampung,Kab. Pesisir Barat,"25,360.20",1.1,0,"2,211.66",8.72,"2,212.75",8.73,,21.66,0.09,P 1
2024,Kepulauan Bangka Belitung,Kab. Bangka,"50,786.39","3,149.77",6.2,"26,660.65",52.5,"29,810.43",58.7,"2,169.73",128.8,4.53,P 1
2024,Kepulauan Bangka Belitung,Kab. Bangka Tengah,"41,510.84","7,506.74",18.08,"23,647.23",56.97,"31,153.97",75.05,"7,073.80",,17.04,P 1
2024,Kepulauan Bangka Belitung,Kab. Bangka Barat,"30,888.64","1,308.51",4.24,"6,570.00",21.27,"7,878.51",25.51,528.52,,1.71,P 1
2024,Kepulauan Bangka Belitung,Kab. Belitung Timur,"20,410.22",26.52,0.13,"9,236.48",45.25,"9,263.00",45.38,26.52,,0.13,P 1
2024,Kepulauan Riau,Kab. Bintan,"20,858.45","2,077.81",9.96,"14,983.25",71.83,"17,061.06",81.79,"1,786.76",,8.57,P 1
2024,Kepulauan Riau,Kab. Karimun,"70,684.84","8,876.29",12.56,"32,120.00",45.44,"40,996.29",58,"7,911.71",,11.19,P 1
2024,Kepulauan Riau,Kab. Kepulauan Anambas,"5,375.79",333.9,6.21,247.5,4.6,581.4,10.82,158.26,,2.94,P 1
